subject_id,turn_index,speaker,begin_ms,end_ms,duration_ms,duration_s,gap_from_previous_ms,overlap_with_previous_ms
adrsdt4,14,PAR,72782,76439,3657,3.657,0,0
adrsdt4,15,PAR,76439,83305,6866,6.866,0,0
adrsdt4,16,PAR,83305,86081,2776,2.776,0,0
adrsdt4,17,PAR,86081,90920,4839,4.839,0,0
adrsdt4,18,INV,90920,93912,2992,2.992,0,0
adrsdt4,19,PAR,93912,95559,1647,1.647,0,0
adrsdt4,20,INV,95559,96922,1363,1.363,0,0
adrsdt5,1,INV,0,1646,1646,1.646,0,0
adrsdt5,2,INV,1646,4389,2743,2.743,0,0
adrsdt5,3,INV,4389,11207,6818,6.818,0,0
adrsdt5,4,PAR,11207,16574,5367,5.367,0,0
adrsdt5,5,PAR,16574,22479,5905,5.905,0,0
adrsdt5,6,PAR,22479,25655,3176,3.176,0,0
adrsdt5,7,PAR,25655,30310,4655,4.655,0,0
adrsdt5,8,PAR,30310,31200,890,0.89,0,0
adrsdt5,9,PAR,31200,32300,1100,1.1,0,0
adrsdt5,10,INV,32300,33401,1101,1.101,0,0
adrsdt5,11,PAR,33401,35030,1629,1.629,0,0
adrsdt5,12,INV,35030,35861,831,0.831,0,0
adrsdt5,13,PAR,35861,37324,1463,1.463,0,0
adrsdt5,14,INV,37324,38290,966,0.966,0,0
adrsdt6,1,PAR,0,3257,3257,3.257,0,0
adrsdt6,2,PAR,3257,6399,3142,3.142,0,0
adrsdt6,3,PAR,6399,13138,6739,6.739,0,0
adrsdt6,4,PAR,13138,18274,5136,5.136,0,0
adrsdt6,5,PAR,18274,24467,6193,6.193,0,0
adrsdt6,6,PAR,24467,27890,3423,3.423,0,0
adrsdt6,7,PAR,27890,30863,2973,2.973,0,0
adrsdt6,8,PAR,30863,32900,2037,2.037,0,0
adrsdt6,9,PAR,32900,42600,9700,9.7,0,0
adrsdt6,10,PAR,42600,43954,1354,1.354,0,0
adrsdt6,11,PAR,43954,54269,10315,10.315,0,0
adrsdt6,12,PAR,54269,58346,4077,4.077,0,0
adrsdt6,13,PAR,58346,61100,2754,2.754,0,0
adrsdt6,14,INV,61100,63097,1997,1.997,0,0
adrsdt6,15,PAR,63097,67064,3967,3.967,0,0
adrsdt6,16,PAR,67064,77380,10316,10.316,0,0
adrsdt6,17,PAR,77380,85829,8449,8.449,0,0
adrsdt6,18,PAR,85829,88496,2667,2.667,0,0
adrsdt6,19,PAR,88496,100634,12138,12.138,0,0
adrsdt6,20,INV,100634,101972,1338,1.338,0,0
adrsdt7,1,INV,0,4514,4514,4.514,0,0
adrsdt7,2,PAR,4514,11144,6630,6.63,0,0
adrsdt7,3,PAR,11144,20762,9618,9.618,0,0
adrsdt7,4,PAR,20762,23322,2560,2.56,0,0
adrsdt7,5,INV,23322,24419,1097,1.097,0,0
adrsdt7,6,PAR,24419,25790,1371,1.371,0,0
adrsdt7,7,INV,25790,26692,902,0.902,0,0
adrsdt7,8,PAR,26692,27250,558,0.558,0,0
adrsdt7,9,INV,27250,28000,750,0.75,0,0
adrsdt8,1,PAR,0,2256,2256,2.256,0,0
adrsdt8,2,INV,2256,3147,891,0.891,0,0
adrsdt8,3,INV,3147,18852,15705,15.705,0,0
adrsdt8,4,PAR,18852,20365,1513,1.513,0,0
adrsdt8,5,INV,20365,21778,1413,1.413,0,0
adrsdt8,6,INV,21778,28035,6257,6.257,0,0
adrsdt8,7,PAR,28035,39257,11222,11.222,0,0
adrsdt8,8,PAR,39257,53655,14398,14.398,0,0
adrsdt8,9,INV,53655,53886,231,0.231,0,0
adrsdt8,10,PAR,53886,55590,1704,1.704,0,0
adrsdt8,11,INV,55590,61451,5861,5.861,0,0
adrsdt8,12,INV,61451,64127,2676,2.676,0,0
adrsdt8,13,PAR,64127,67784,3657,3.657,0,0
adrsdt8,14,INV,67784,70416,2632,2.632,0,0
adrsdt8,15,PAR,70416,75458,5042,5.042,0,0
adrsdt8,16,INV,75458,81995,6537,6.537,0,0
adrsdt8,17,PAR,81995,88997,7002,7.002,0,0
adrsdt8,18,INV,88997,98072,9075,9.075,0,0
adrsdt8,19,PAR,98072,100141,2069,2.069,0,0
adrsdt8,20,INV,100141,124764,24623,24.623,0,0
adrsdt8,21,PAR,124764,127471,2707,2.707,0,0
adrsdt8,22,INV,127471,136217,8746,8.746,0,0
adrsdt8,23,PAR,136217,139143,2926,2.926,0,0
adrsdt8,24,INV,139143,141945,2802,2.802,0,0
adrsdt8,25,PAR,141945,142554,609,0.609,0,0
adrsdt8,26,INV,142554,143564,1010,1.01,0,0
adrsdt9,1,INV,0,2510,2510,2.51,0,0
adrsdt9,2,PAR,2000,6360,4360,4.36,0,510
adrsdt9,3,PAR,6360,10510,4150,4.15,0,0
adrsdt9,4,PAR,10510,12150,1640,1.64,0,0
adrsdt9,5,PAR,12150,13400,1250,1.25,0,0
adrsdt9,6,PAR,13400,13640,240,0.24,0,0
adrsdt9,7,PAR,13640,15834,2194,2.194,0,0
adrsdt9,8,PAR,15834,16850,1016,1.016,0,0
adrsdt9,9,PAR,16850,18800,1950,1.95,0,0
adrsdt9,10,PAR,18800,20573,1773,1.773,0,0
adrsdt9,11,PAR,20573,21850,1277,1.277,0,0
adrsdt9,12,PAR,21850,24920,3070,3.07,0,0
adrsdt9,13,PAR,24920,27349,2429,2.429,0,0
adrsdt9,14,PAR,27349,28895,1546,1.546,0,0
adrsdt9,15,PAR,28895,30700,1805,1.805,0,0
adrsdt9,16,PAR,30700,32919,2219,2.219,0,0
adrsdt9,17,PAR,32919,36060,3141,3.141,0,0
adrsdt9,18,PAR,36060,38700,2640,2.64,0,0
adrsdt9,19,PAR,38700,41601,2901,2.901,0,0
adrsdt9,20,PAR,41601,48811,7210,7.21,0,0
adrsdt9,21,PAR,48811,53135,4324,4.324,0,0
adrsdt9,22,INV,53135,54286,1151,1.151,0,0
adrsdt10,1,INV,0,1963,1963,1.963,0,0
adrsdt10,2,PAR,1963,7624,5661,5.661,0,0
adrsdt10,3,PAR,7624,11845,4221,4.221,0,0
adrsdt10,4,PAR,11845,15783,3938,3.938,0,0
adrsdt10,5,PAR,15783,21012,5229,5.229,0,0
adrsdt10,6,PAR,21012,25898,4886,4.886,0,0
adrsdt10,7,PAR,25898,28871,2973,2.973,0,0
adrsdt10,8,PAR,28871,32125,3254,3.254,0,0
adrsdt10,9,PAR,32125,38318,6193,6.193,0,0
adrsdt10,10,PAR,38318,47485,9167,9.167,0,0
adrsdt10,11,INV,47485,48372,887,0.887,0,0
adrsdt11,1,INV,0,9400,9400,9.4,0,0
adrsdt11,2,PAR,9400,11750,2350,2.35,0,0
adrsdt11,3,PAR,11750,18750,7000,7.0,0,0
adrsdt11,4,PAR,18750,25510,6760,6.76,0,0
adrsdt11,5,PAR,25510,28354,2844,2.844,0,0
adrsdt11,6,PAR,28354,31111,2757,2.757,0,0
adrsdt11,7,PAR,31111,36133,5022,5.022,0,0
adrsdt11,8,PAR,36133,38692,2559,2.559,0,0
adrsdt11,9,PAR,38692,41600,2908,2.908,0,0
adrsdt11,10,PAR,41600,46568,4968,4.968,0,0
adrsdt11,11,PAR,46568,52153,5585,5.585,0,0
adrsdt11,12,PAR,52153,58500,6347,6.347,0,0
adrsdt11,13,PAR,58500,70564,12064,12.064,0,0
adrsdt11,14,INV,70564,72884,2320,2.32,0,0
adrsdt12,1,PAR,0,2866,2866,2.866,0,0
adrsdt12,2,PAR,2866,6117,3251,3.251,0,0
adrsdt12,3,PAR,6117,22863,16746,16.746,0,0
adrsdt12,4,PAR,22863,30896,8033,8.033,0,0
adrsdt12,5,PAR,30896,34504,3608,3.608,0,0
adrsdt12,6,PAR,34504,36781,2277,2.277,0,0
adrsdt12,7,PAR,36781,39112,2331,2.331,0,0
adrsdt12,8,PAR,39112,42506,3394,3.394,0,0
adrsdt12,9,PAR,42506,45800,3294,3.294,0,0
adrsdt12,10,PAR,45800,47549,1749,1.749,0,0
adrsdt12,11,PAR,47549,51579,4030,4.03,0,0
adrsdt12,12,PAR,51579,57681,6102,6.102,0,0
adrsdt12,13,PAR,57681,60800,3119,3.119,0,0
adrsdt12,14,PAR,60800,63344,2544,2.544,0,0
adrsdt12,15,PAR,63344,71719,8375,8.375,0,0
adrsdt12,16,INV,71719,72823,1104,1.104,0,0
adrsdt13,1,INV,0,4702,4702,4.702,0,0
adrsdt13,2,PAR,4702,9091,4389,4.389,0,0
adrsdt13,3,PAR,9091,13850,4759,4.759,0,0
adrsdt13,4,PAR,13850,16000,2150,2.15,0,0
adrsdt13,5,PAR,16000,20000,4000,4.0,0,0
adrsdt13,6,PAR,20000,30400,10400,10.4,0,0
adrsdt13,7,PAR,30400,31610,1210,1.21,0,0
adrsdt13,8,INV,31610,32654,1044,1.044,0,0
adrsdt13,9,PAR,32654,34086,1432,1.432,0,0
adrsdt13,10,INV,34086,36918,2832,2.832,0,0
adrsdt14,1,INV,0,2594,2594,2.594,0,0
adrsdt14,2,INV,2594,4744,2150,2.15,0,0
adrsdt14,3,PAR,4744,11579,6835,6.835,0,0
adrsdt14,4,PAR,11579,16107,4528,4.528,0,0
adrsdt14,5,PAR,16107,19018,2911,2.911,0,0
adrsdt14,6,PAR,19018,22770,3752,3.752,0,0
adrsdt14,7,PAR,22770,25602,2832,2.832,0,0
adrsdt14,8,PAR,25602,27455,1853,1.853,0,0
adrsdt15,1,PAR,0,9700,9700,9.7,0,0
adrsdt15,2,PAR,9700,13079,3379,3.379,0,0
adrsdt15,3,PAR,13079,17658,4579,4.579,0,0
adrsdt15,4,PAR,17658,22388,4730,4.73,0,0
adrsdt16,1,PAR,0,6321,6321,6.321,0,0
adrsdt16,2,PAR,6321,10632,4311,4.311,0,0
adrsdt16,3,PAR,10632,13960,3328,3.328,0,0
adrsdt16,4,PAR,13960,20500,6540,6.54,0,0
adrsdt16,5,PAR,20500,22329,1829,1.829,0,0
adrsdt16,6,PAR,22329,26118,3789,3.789,0,0
adrsdt16,7,INV,26118,28656,2538,2.538,0,0
adrsdt17,1,INV,0,3100,3100,3.1,0,0
adrsdt17,2,PAR,3100,3603,503,0.503,0,0
adrsdt17,3,INV,3403,7460,4057,4.057,0,200
adrsdt17,4,PAR,7460,11363,3903,3.903,0,0
adrsdt17,5,PAR,11363,15702,4339,4.339,0,0
adrsdt17,6,PAR,15702,18162,2460,2.46,0,0
adrsdt17,7,PAR,18162,25836,7674,7.674,0,0
adrsdt17,8,PAR,25836,30521,4685,4.685,0,0
adrsdt17,9,PAR,30521,36373,5852,5.852,0,0
adrsdt17,10,PAR,36373,37400,1027,1.027,0,0
adrsdt17,11,PAR,37400,38800,1400,1.4,0,0
adrsdt17,12,PAR,38800,43563,4763,4.763,0,0
adrsdt17,13,PAR,43563,49959,6396,6.396,0,0
adrsdt17,14,INV,49600,50900,1300,1.3,0,359
adrsdt18,1,INV,0,2023,2023,2.023,0,0
adrsdt18,2,PAR,2023,9575,7552,7.552,0,0
adrsdt18,3,PAR,9575,14692,5117,5.117,0,0
adrsdt18,4,PAR,14692,19312,4620,4.62,0,0
adrsdt18,5,PAR,19312,27453,8141,8.141,0,0
adrsdt18,6,PAR,27453,30571,3118,3.118,0,0
adrsdt18,7,PAR,30571,32028,1457,1.457,0,0
adrsdt18,8,PAR,32028,33075,1047,1.047,0,0
adrsdt18,9,PAR,33075,39205,6130,6.13,0,0
adrsdt18,10,PAR,39205,43486,4281,4.281,0,0
adrsdt18,11,PAR,43486,48418,4932,4.932,0,0
adrsdt18,12,PAR,48418,51718,3300,3.3,0,0
adrsdt18,13,PAR,51718,55220,3502,3.502,0,0
adrsdt18,14,PAR,55220,57774,2554,2.554,0,0
adrsdt18,15,INV,57774,60281,2507,2.507,0,0
adrsdt18,16,PAR,60281,64920,4639,4.639,0,0
adrsdt18,17,PAR,64920,67364,2444,2.444,0,0
adrsdt18,18,PAR,67364,69818,2454,2.454,0,0
adrsdt18,19,INV,67500,69296,1796,1.796,0,2318
adrsdt18,20,PAR,69818,75000,5182,5.182,522,0
adrsdt18,21,INV,73879,75004,1125,1.125,0,1121
adrsdt18,22,INV,75004,76898,1894,1.894,0,0
adrsdt18,23,PAR,76898,84629,7731,7.731,0,0
adrsdt18,24,PAR,84629,91621,6992,6.992,0,0
adrsdt18,25,PAR,91621,94895,3274,3.274,0,0
adrsdt18,26,PAR,94895,97000,2105,2.105,0,0
adrsdt18,27,PAR,97000,100508,3508,3.508,0,0
adrsdt18,28,PAR,100508,102253,1745,1.745,0,0
adrsdt18,29,INV,102253,103344,1091,1.091,0,0
adrsdt18,30,PAR,103344,105114,1770,1.77,0,0
adrsdt18,31,INV,105114,105820,706,0.706,0,0
adrsdt18,32,PAR,105200,106795,1595,1.595,0,620
adrsdt18,33,PAR,106795,109599,2804,2.804,0,0
adrsdt18,34,PAR,109599,116077,6478,6.478,0,0
adrsdt19,1,INV,0,7005,7005,7.005,0,0
adrsdt19,2,INV,7005,9059,2054,2.054,0,0
adrsdt19,3,PAR,9059,12529,3470,3.47,0,0
adrsdt19,4,INV,12529,16170,3641,3.641,0,0
adrsdt19,5,PAR,16170,20887,4717,4.717,0,0
adrsdt19,6,INV,20887,23207,2320,2.32,0,0
adrsdt19,7,PAR,23207,27270,4063,4.063,0,0
adrsdt19,8,INV,27270,33151,5881,5.881,0,0
adrsdt19,9,PAR,33151,35936,2785,2.785,0,0
adrsdt19,10,PAR,35936,41166,5230,5.23,0,0
adrsdt19,11,PAR,41166,52885,11719,11.719,0,0
adrsdt19,12,PAR,52885,59578,6693,6.693,0,0
adrsdt19,13,PAR,59578,63670,4092,4.092,0,0
adrsdt19,14,INV,63670,65632,1962,1.962,0,0
adrsdt20,1,PAR,0,522,522,0.522,0,0
adrsdt20,2,INV,552,3194,2642,2.642,30,0
adrsdt20,3,PAR,3194,7004,3810,3.81,0,0
adrsdt20,4,INV,7004,8065,1061,1.061,0,0
adrsdt20,5,PAR,8065,12532,4467,4.467,0,0
adrsdt20,6,INV,12532,13354,822,0.822,0,0
adrsdt20,7,PAR,13354,16355,3001,3.001,0,0
adrsdt20,8,PAR,16355,18799,2444,2.444,0,0
adrsdt20,9,PAR,18799,20333,1534,1.534,0,0
adrsdt20,10,PAR,20333,24483,4150,4.15,0,0
adrsdt20,11,PAR,24483,31332,6849,6.849,0,0
adrsdt20,12,PAR,31332,34342,3010,3.01,0,0
adrsdt20,13,PAR,34342,35222,880,0.88,0,0
adrsdt20,14,INV,34502,36108,1606,1.606,0,720
adrsdt20,15,PAR,36108,37900,1792,1.792,0,0
adrsdt20,16,PAR,37900,42191,4291,4.291,0,0
adrsdt20,17,PAR,42191,46680,4489,4.489,0,0
adrsdt20,18,PAR,46680,50500,3820,3.82,0,0
adrsdt20,19,PAR,50500,64401,13901,13.901,0,0
adrsdt20,20,PAR,64401,76401,12000,12.0,0,0
adrsdt20,21,PAR,76401,82066,5665,5.665,0,0
adrsdt20,22,PAR,82066,87061,4995,4.995,0,0
adrsdt20,23,INV,87061,89553,2492,2.492,0,0
adrsdt20,24,PAR,89553,90917,1364,1.364,0,0
adrsdt20,25,PAR,90917,100540,9623,9.623,0,0
adrsdt20,26,PAR,100540,108754,8214,8.214,0,0
adrsdt20,27,PAR,108754,122550,13796,13.796,0,0
adrsdt20,28,PAR,122550,126325,3775,3.775,0,0
adrsdt20,29,INV,126325,127401,1076,1.076,0,0
adrsdt20,30,PAR,127401,134740,7339,7.339,0,0
adrsdt21,1,INV,0,3690,3690,3.69,0,0
adrsdt21,2,INV,3690,5151,1461,1.461,0,0
adrsdt21,3,PAR,5151,9766,4615,4.615,0,0
adrsdt21,4,PAR,9766,11876,2110,2.11,0,0
adrsdt21,5,PAR,11876,18816,6940,6.94,0,0
adrsdt21,6,PAR,18816,23105,4289,4.289,0,0
adrsdt21,7,PAR,23105,25084,1979,1.979,0,0
adrsdt21,8,PAR,25084,29331,4247,4.247,0,0
adrsdt21,9,PAR,29331,34251,4920,4.92,0,0
adrsdt21,10,INV,34251,35455,1204,1.204,0,0
adrsdt21,11,PAR,35455,42410,6955,6.955,0,0
adrsdt21,12,PAR,42410,47399,4989,4.989,0,0
adrsdt21,13,PAR,47399,48645,1246,1.246,0,0
adrsdt21,14,PAR,48645,52901,4256,4.256,0,0
adrsdt21,15,INV,52901,54215,1314,1.314,0,0
adrsdt21,16,PAR,54215,58678,4463,4.463,0,0
adrsdt21,17,INV,58678,59488,810,0.81,0,0
adrsdt22,1,INV,0,3972,3972,3.972,0,0
adrsdt22,2,PAR,3972,8850,4878,4.878,0,0
adrsdt22,3,PAR,8950,11400,2450,2.45,100,0
adrsdt22,4,PAR,11400,16529,5129,5.129,0,0
adrsdt22,5,PAR,16529,21200,4671,4.671,0,0
adrsdt22,6,PAR,21200,27004,5804,5.804,0,0
adrsdt22,7,PAR,27004,37689,10685,10.685,0,0
adrsdt22,8,PAR,37689,42100,4411,4.411,0,0
adrsdt22,9,PAR,42100,46800,4700,4.7,0,0
adrsdt22,10,PAR,46800,56300,9500,9.5,0,0
adrsdt22,11,PAR,56300,61000,4700,4.7,0,0
adrsdt22,12,PAR,61000,64109,3109,3.109,0,0
adrsdt22,13,PAR,64109,66303,2194,2.194,0,0
adrsdt22,14,PAR,66303,68698,2395,2.395,0,0
adrsdt22,15,PAR,68698,70977,2279,2.279,0,0
adrsdt22,16,PAR,70977,72750,1773,1.773,0,0
adrsdt22,17,PAR,72750,74735,1985,1.985,0,0
adrsdt22,18,INV,74735,75438,703,0.703,0,0
adrsdt23,1,INV,0,1497,1497,1.497,0,0
adrsdt23,2,PAR,1497,7799,6302,6.302,0,0
adrsdt23,3,PAR,7799,13769,5970,5.97,0,0
adrsdt23,4,PAR,13769,22991,9222,9.222,0,0
adrsdt23,5,PAR,22991,32297,9306,9.306,0,0
adrsdt23,6,PAR,32297,38024,5727,5.727,0,0
adrsdt23,7,PAR,38024,40140,2116,2.116,0,0
adrsdt23,8,PAR,40140,45429,5289,5.289,0,0
adrsdt23,9,PAR,45429,55820,10391,10.391,0,0
adrsdt23,10,PAR,55820,58549,2729,2.729,0,0
adrsdt23,11,INV,58549,61056,2507,2.507,0,0
adrsdt24,1,INV,0,3814,3814,3.814,0,0
adrsdt24,2,INV,4545,9309,4764,4.764,731,0
adrsdt24,3,INV,9309,15583,6274,6.274,0,0
adrsdt24,4,INV,15583,26606,11023,11.023,0,0
adrsdt24,5,PAR,26606,28174,1568,1.568,0,0
adrsdt24,6,INV,28174,29031,857,0.857,0,0
adrsdt24,7,PAR,29558,37665,8107,8.107,527,0
adrsdt24,8,PAR,37665,41353,3688,3.688,0,0
adrsdt24,9,PAR,41353,45593,4240,4.24,0,0
adrsdt24,10,PAR,45593,52094,6501,6.501,0,0
adrsdt24,11,PAR,51703,56248,4545,4.545,0,391
adrsdt24,12,PAR,56248,64761,8513,8.513,0,0
adrsdt24,13,PAR,64761,68993,4232,4.232,0,0
adrsdt24,14,PAR,68993,75592,6599,6.599,0,0
adrsdt24,15,PAR,75592,83638,8046,8.046,0,0
adrsdt24,16,PAR,83638,88899,5261,5.261,0,0
adrsdt24,17,INV,88899,91793,2894,2.894,0,0
adrsdt25,1,INV,0,2957,2957,2.957,0,0
adrsdt25,2,PAR,2957,7429,4472,4.472,0,0
adrsdt25,3,PAR,7429,14801,7372,7.372,0,0
adrsdt25,4,PAR,14801,17168,2367,2.367,0,0
adrsdt25,5,PAR,17168,22225,5057,5.057,0,0
adrsdt25,6,PAR,22225,26465,4240,4.24,0,0
adrsdt25,7,PAR,26465,29300,2835,2.835,0,0
adrsdt25,8,PAR,29300,37100,7800,7.8,0,0
adrsdt25,9,PAR,37100,39096,1996,1.996,0,0
adrsdt25,10,PAR,39096,40500,1404,1.404,0,0
adrsdt25,11,INV,39800,41059,1259,1.259,0,700
adrsdt25,12,PAR,41059,46661,5602,5.602,0,0
adrsdt25,13,PAR,46661,57318,10657,10.657,0,0
adrsdt25,14,PAR,57318,59150,1832,1.832,0,0
adrsdt25,15,PAR,59150,60650,1500,1.5,0,0
adrsdt25,16,PAR,60800,63160,2360,2.36,150,0
adrsdt25,17,INV,63160,63509,349,0.349,0,0
adrsdt25,18,INV,63509,64125,616,0.616,0,0
adrsdt26,1,PAR,0,4952,4952,4.952,0,0
adrsdt26,2,PAR,4952,8300,3348,3.348,0,0
adrsdt26,3,PAR,8300,12160,3860,3.86,0,0
adrsdt26,4,PAR,12160,17905,5745,5.745,0,0
adrsdt26,5,PAR,17905,22381,4476,4.476,0,0
adrsdt26,6,PAR,22381,26406,4025,4.025,0,0
adrsdt26,7,PAR,26406,28326,1920,1.92,0,0
adrsdt26,8,PAR,28326,29880,1554,1.554,0,0
adrsdt26,9,PAR,29880,33754,3874,3.874,0,0
adrsdt26,10,PAR,33754,35293,1539,1.539,0,0
adrsdt27,1,INV,0,7987,7987,7.987,0,0
adrsdt27,2,PAR,7987,10000,2013,2.013,0,0
adrsdt27,3,PAR,10000,18550,8550,8.55,0,0
adrsdt27,4,PAR,18550,23582,5032,5.032,0,0
adrsdt27,5,PAR,23582,35239,11657,11.657,0,0
adrsdt27,6,PAR,35239,50200,14961,14.961,0,0
adrsdt27,7,PAR,50200,55666,5466,5.466,0,0
adrsdt27,8,PAR,55666,59374,3708,3.708,0,0
adrsdt27,9,PAR,59374,73956,14582,14.582,0,0
adrsdt27,10,PAR,73956,81005,7049,7.049,0,0
adrsdt27,11,PAR,81005,90763,9758,9.758,0,0
adrsdt27,12,PAR,90763,95188,4425,4.425,0,0
adrsdt27,13,INV,95188,96900,1712,1.712,0,0
adrsdt27,14,PAR,96900,99600,2700,2.7,0,0
adrsdt28,1,INV,0,2865,2865,2.865,0,0
adrsdt28,2,PAR,2865,4428,1563,1.563,0,0
adrsdt28,3,INV,4428,5989,1561,1.561,0,0
adrsdt28,4,PAR,5989,9633,3644,3.644,0,0
adrsdt28,5,PAR,9633,11763,2130,2.13,0,0
adrsdt28,6,PAR,11763,14367,2604,2.604,0,0
adrsdt28,7,PAR,14367,18477,4110,4.11,0,0
adrsdt28,8,PAR,18477,24063,5586,5.586,0,0
adrsdt28,9,PAR,24063,26552,2489,2.489,0,0
adrsdt28,10,PAR,26552,31969,5417,5.417,0,0
adrsdt28,11,PAR,31969,37337,5368,5.368,0,0
adrsdt28,12,PAR,37337,38396,1059,1.059,0,0
adrsdt28,13,PAR,38396,41872,3476,3.476,0,0
adrsdt28,14,INV,41222,42597,1375,1.375,0,650
adrsdt28,15,PAR,42597,46000,3403,3.403,0,0
adrsdt28,16,INV,46000,46670,670,0.67,0,0
adrsdt28,17,INV,46670,47779,1109,1.109,0,0
adrsdt28,18,PAR,47779,50200,2421,2.421,0,0
adrsdt28,19,INV,50000,51107,1107,1.107,0,200
adrsdt28,20,INV,51107,52341,1234,1.234,0,0
adrsdt28,21,INV,52341,54850,2509,2.509,0,0
adrsdt28,22,PAR,54850,55565,715,0.715,0,0
adrsdt28,23,INV,55565,58491,2926,2.926,0,0
adrsdt28,24,PAR,58491,61300,2809,2.809,0,0
adrsdt28,25,PAR,61300,63097,1797,1.797,0,0
adrsdt28,26,INV,63097,66600,3503,3.503,0,0
adrsdt28,27,INV,66600,67130,530,0.53,0,0
adrsdt28,28,INV,67130,68000,870,0.87,0,0
adrsdt28,29,PAR,68000,68730,730,0.73,0,0
adrsdt29,1,INV,0,1948,1948,1.948,0,0
adrsdt29,2,PAR,1948,9759,7811,7.811,0,0
adrsdt29,3,INV,9759,15644,5885,5.885,0,0
adrsdt29,4,PAR,15644,19209,3565,3.565,0,0
adrsdt29,5,INV,19209,26674,7465,7.465,0,0
adrsdt29,6,INV,26674,29353,2679,2.679,0,0
adrsdt29,7,INV,29353,31034,1681,1.681,0,0
adrsdt29,8,PAR,31034,34039,3005,3.005,0,0
adrsdt29,9,INV,34039,35299,1260,1.26,0,0
adrsdt29,10,INV,35299,37837,2538,2.538,0,0
adrsdt29,11,PAR,37837,42809,4972,4.972,0,0
adrsdt29,12,INV,42809,45800,2991,2.991,0,0
adrsdt29,13,INV,45800,47703,1903,1.903,0,0
adrsdt29,14,INV,47703,50400,2697,2.697,0,0
adrsdt29,15,INV,50400,52978,2578,2.578,0,0
adrsdt29,16,PAR,52978,55955,2977,2.977,0,0
adrsdt29,17,INV,54242,54879,637,0.637,0,1713
adrsdt29,18,INV,55955,56934,979,0.979,1076,0
adrsdt29,19,PAR,56934,61803,4869,4.869,0,0
